,AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,All Gene Biomarkers,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
0,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 PVRL2,,,Being added to Brain Standards Ontology,,,,,,,"CBLN4, HS3ST5, RELN, TRPC3",CBLN4,cerebellin 4 precursor,HGNC:16231,HS3ST5,,,RELN,,,TRPC3,,,,,,,,,,,,,,,,,
1,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 RAB11FIP1,,,Being added to Brain Standards Ontology,,,,,,,"ADAMTS20, FREM1, MYH11",ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,HGNC:17178,FREM1,,,MYH11,,,,,,,,,,,,,,,,,,,,
2,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 AARD,,,Being added to Brain Standards Ontology,,,,,,,"FBXL7, FREM1, KIT, PRELID2",FBXL7,F-box and leucine rich repeat protein 7,HGNC:13604,FREM1,,,KIT,,,PRELID2,,,,,,,,,,,,,,,,,
3,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 NES,,,Being added to Brain Standards Ontology,,,,,,,"EPHA3, EYA4, KIT, NTNG1, RO",EPHA3,EPH receptor A3,HGNC:3387,EYA4,,,KIT,,,NTNG1,,,RO,,,,,,,,,,,,,,
4,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 LAMP5 CA1,,,Being added to Brain Standards Ontology,,,,,,,"HS3ST4, NOS1",HS3ST4,heparan sulfate-glucosamine 3-sulfotransferase 4,HGNC:5200,NOS1,,,,,,,,,,,,,,,,,,,,,,,
5,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L5-6 LAMP5 CRABP1,,,Being added to Brain Standards Ontology,,,,,,,"LOC105379168, PDGFD",LOC105379168,,,PDGFD,,,,,,,,,,,,,,,,,,,,,,,
6,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L3-6 PAX6 LINC01497,,,Being added to Brain Standards Ontology,,,,,,,"PALMD, RELN",PALMD,palmdelphin,HGNC:15846,RELN,,,,,,,,,,,,,,,,,,,,,,,
7,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 PAX6 MIR101-1,,,Being added to Brain Standards Ontology,,,,,,,"RELN, TGFBR2",RELN,reelin,HGNC:9957,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,
8,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 BMP2,,,Being added to Brain Standards Ontology,,,,,,,"COL5A2, FREM1",COL5A2,collagen type V alpha 2 chain,HGNC:2210,FREM1,,,,,,,,,,,,,,,,,,,,,,,
9,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 LAMP5 NMBR,,,Being added to Brain Standards Ontology,,,,,,,"PCDH18, RELN",PCDH18,protocadherin 18,HGNC:14268,RELN,,,,,,,,,,,,,,,,,,,,,,,
10,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1 PAX6 CHRFAM7A,,,Being added to Brain Standards Ontology,,,,,,,"CHRNA7, CNR1, LINC01539",CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,HGNC:1960,CNR1,,,LINC01539,,,,,,,,,,,,,,,,,,,,
11,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-6 VIP SLC7A6OS,,,Being added to Brain Standards Ontology,,,,,,,"CNR1, PBX3",CNR1,cannabinoid receptor 1,HGNC:2159,PBX3,,,,,,,,,,,,,,,,,,,,,,,
12,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L2 PAX6 FREM2,,,Being added to Brain Standards Ontology,,,,,,,"CILP2, IGFBP7",CILP2,cartilage intermediate layer protein 2,HGNC:24213,IGFBP7,,,,,,,,,,,,,,,,,,,,,,,
13,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-2 VIP HTR3A,,,Being added to Brain Standards Ontology,,,,,,,"HTR3A, LOC105373642",HTR3A,5-hydroxytryptamine receptor 3A,HGNC:5297,LOC105373642,,,,,,,,,,,,,,,,,,,,,,,
14,brain,brain,UBERON:0000955,forebrain (prosencephalon),forebrain,UBERON:0001890,gray matter of forebrain,gray matter of forebrain,UBERON:0019264,cerebral cortex,cerebral cortex,UBERON:0000956,frontal lobe,frontal lobe,UBERON:0016525,precentral gyrus,precentral gyrus,UBERON:0002703,Primary motor cortex,Primary motor cortex,UBERON:0001384,Inh L1-2 VIP WNT4,,,Being added to Brain Standards Ontology,,,,,,,"LOC105379064, SYT9",LOC105379064,,,SYT9,,,,,,,,,,,,,,,,,,,,,,,
